Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
0,0.0127,0.0123,0.0016,0.001,0.0032,0.0102,0.0129,0.0073,0.0388,0,smoothed,2009
1,0.0151,0.0129,0.0018,0.0011,0.0026,0.0094,0.0115,0.0074,0.0382,0,smoothed,2009
2,0.0211,0.0111,0.0022,0.0015,0.0024,0.0054,0.0083,0.007,0.0409,0,smoothed,2009
3,0.0249,0.0133,0.0028,0.0021,0.0014,0.0057,0.0084,0.0057,0.0355,0,smoothed,2009
4,0.0277,0.0134,0.0036,0.0022,0.0014,0.0046,0.0086,0.005,0.0336,0,smoothed,2009
5,0.0271,0.0144,0.004,0.0019,0.0016,0.0043,0.0093,0.0047,0.0327,0,smoothed,2009
6,0.0273,0.0147,0.0049,0.0017,0.0015,0.0042,0.0103,0.0043,0.0312,0,smoothed,2009
7,0.0274,0.016,0.0056,0.0016,0.0014,0.0037,0.0108,0.0035,0.03,0,smoothed,2009
8,0.029,0.016,0.0062,0.0016,0.0013,0.0038,0.0094,0.0034,0.0294,0,smoothed,2009
9,0.0292,0.0166,0.0067,0.0016,0.0016,0.0034,0.0098,0.0031,0.0279,0,smoothed,2009
10,0.0285,0.0157,0.0062,0.0018,0.0018,0.0038,0.011,0.0034,0.0279,0,smoothed,2009
11,0.0266,0.016,0.0065,0.0019,0.0017,0.0035,0.013,0.0033,0.0274,0,smoothed,2009
12,0.0263,0.0164,0.0054,0.0021,0.0015,0.0032,0.0138,0.0033,0.028,0,smoothed,2009
13,0.026,0.0169,0.0054,0.002,0.0013,0.0031,0.0144,0.003,0.0278,0,smoothed,2009
14,0.0261,0.0177,0.0052,0.0019,0.0016,0.0028,0.0149,0.0032,0.0267,0,smoothed,2009
15,0.026,0.0175,0.0054,0.0017,0.0017,0.0027,0.0157,0.0033,0.026,0,smoothed,2009
16,0.0259,0.0169,0.0051,0.0022,0.0018,0.0026,0.0167,0.0031,0.0257,0,smoothed,2009
17,0.026,0.0164,0.0044,0.0024,0.0016,0.003,0.018,0.0028,0.0254,0,smoothed,2009
18,0.0266,0.0168,0.0042,0.0023,0.0014,0.0036,0.0182,0.0024,0.0245,0,smoothed,2009
19,0.0264,0.0169,0.0039,0.002,0.0013,0.0035,0.0187,0.0026,0.0246,0,smoothed,2009
20,0.0249,0.0163,0.0036,0.0024,0.0014,0.0033,0.0203,0.0028,0.0249,0,smoothed,2009
21,0.0243,0.0143,0.0032,0.003,0.0013,0.0031,0.0216,0.003,0.0262,0,smoothed,2009
22,0.0233,0.0139,0.0029,0.0035,0.0018,0.0036,0.0228,0.0027,0.0256,0,smoothed,2009
23,0.0236,0.0131,0.0029,0.0034,0.0022,0.0033,0.0237,0.0027,0.0252,0,smoothed,2009
24,0.0222,0.0137,0.0028,0.0034,0.0022,0.0032,0.0258,0.0025,0.0242,0,smoothed,2009
25,0.0215,0.0132,0.0031,0.0032,0.0021,0.0029,0.0267,0.0027,0.0247,0,smoothed,2009
26,0.0217,0.0136,0.0032,0.0026,0.0018,0.0032,0.027,0.0025,0.0243,0,smoothed,2009
27,0.0211,0.0127,0.0031,0.0023,0.0021,0.0042,0.0286,0.0023,0.0235,0,smoothed,2009
28,0.0207,0.0129,0.0028,0.0026,0.0019,0.0041,0.0304,0.0022,0.0222,0,smoothed,2009
29,0.02,0.013,0.0023,0.0034,0.0022,0.0042,0.0313,0.0023,0.0213,0,smoothed,2009
30,0.0196,0.0133,0.0023,0.0034,0.0022,0.0035,0.0318,0.0024,0.0214,0,smoothed,2009
31,0.0192,0.0133,0.0024,0.0028,0.0025,0.0035,0.0325,0.0025,0.0211,0,smoothed,2009
32,0.0187,0.0129,0.0021,0.0026,0.0025,0.0035,0.0337,0.0026,0.0212,0,smoothed,2009
33,0.0171,0.0134,0.002,0.0024,0.0029,0.0035,0.0351,0.0027,0.0209,0,smoothed,2009
34,0.0168,0.0137,0.0018,0.0027,0.0031,0.0039,0.0352,0.0028,0.0201,0,smoothed,2009
35,0.0158,0.014,0.0019,0.0022,0.0029,0.004,0.0361,0.0026,0.0205,0,smoothed,2009
36,0.0159,0.0141,0.0016,0.0025,0.0026,0.0046,0.0364,0.0024,0.0199,0,smoothed,2009
37,0.0148,0.0136,0.0014,0.002,0.0023,0.0048,0.0378,0.0024,0.0208,0,smoothed,2009
38,0.0135,0.0135,0.0015,0.0019,0.0024,0.0048,0.0396,0.0025,0.0203,0,smoothed,2009
39,0.0131,0.0129,0.0017,0.002,0.0026,0.0042,0.0403,0.0025,0.0208,0,smoothed,2009
40,0.0131,0.0124,0.0018,0.0019,0.0026,0.0044,0.0415,0.0023,0.02,0,smoothed,2009
41,0.0123,0.0124,0.0019,0.0017,0.0028,0.0043,0.0429,0.0023,0.0194,0,smoothed,2009
42,0.0111,0.0128,0.0018,0.0012,0.0026,0.0047,0.0435,0.0021,0.0202,0,smoothed,2009
43,0.0099,0.0127,0.0017,0.0011,0.0029,0.0043,0.0455,0.002,0.0198,0,smoothed,2009
44,0.0091,0.0124,0.0014,0.0012,0.0029,0.0047,0.0468,0.0018,0.0197,0,smoothed,2009
45,0.0082,0.0125,0.0015,0.0014,0.0032,0.004,0.0486,0.002,0.0186,0,smoothed,2009
46,0.0081,0.014,0.0013,0.0014,0.0029,0.0044,0.0481,0.0021,0.0177,0,smoothed,2009
47,0.0086,0.0139,0.0011,0.0013,0.0029,0.0047,0.0482,0.0022,0.0171,0,smoothed,2009
48,0.0094,0.0138,0.001,0.001,0.0027,0.006,0.0482,0.0023,0.0156,0,smoothed,2009
49,0.0088,0.0128,0.001,0.0013,0.0033,0.0056,0.0488,0.0023,0.016,0,smoothed,2009
50,0.0081,0.0135,0.0012,0.0012,0.0033,0.0051,0.0497,0.0022,0.0157,0,smoothed,2009
51,0.0074,0.0136,0.0014,0.0013,0.0035,0.0043,0.0516,0.0018,0.0152,0,smoothed,2009
52,0.0071,0.0132,0.0013,0.001,0.0033,0.0043,0.0528,0.0017,0.0153,0,smoothed,2009
53,0.0072,0.0129,0.001,0.001,0.0032,0.0044,0.0529,0.0018,0.0155,0,smoothed,2009
54,0.0068,0.0123,0.0009,0.0009,0.0032,0.0048,0.0527,0.002,0.0164,0,smoothed,2009
55,0.0064,0.0116,0.001,0.001,0.0033,0.0044,0.0549,0.0019,0.0155,0,smoothed,2009
56,0.0062,0.0113,0.001,0.001,0.0037,0.0046,0.0551,0.0019,0.0151,0,smoothed,2009
57,0.0062,0.0117,0.0008,0.001,0.0034,0.0043,0.0565,0.0019,0.0142,0,smoothed,2009
58,0.0063,0.0119,0.0009,0.0007,0.0031,0.005,0.056,0.0021,0.0139,0,smoothed,2009
59,0.0056,0.0117,0.0009,0.0006,0.0029,0.0047,0.0582,0.002,0.0134,0,smoothed,2009
60,0.0051,0.0113,0.0011,0.0005,0.0033,0.0049,0.0579,0.002,0.0139,0,smoothed,2009
61,0.0047,0.012,0.0011,0.0006,0.0031,0.0045,0.0587,0.0019,0.0133,0,smoothed,2009
62,0.0045,0.012,0.0011,0.0007,0.0032,0.005,0.059,0.0017,0.013,0,smoothed,2009
63,0.004,0.0115,0.0009,0.0007,0.0038,0.0046,0.0608,0.0015,0.0122,0,smoothed,2009
64,0.0037,0.0112,0.0006,0.0006,0.0039,0.0049,0.0603,0.0015,0.0132,0,smoothed,2009
65,0.0037,0.0114,0.0007,0.0005,0.0036,0.0051,0.0599,0.0016,0.0135,0,smoothed,2009
66,0.0039,0.0112,0.0007,0.0003,0.0027,0.0055,0.0613,0.0016,0.0129,0,smoothed,2009
67,0.0036,0.0107,0.0007,0.0005,0.0027,0.0053,0.0629,0.0015,0.0121,0,smoothed,2009
68,0.0033,0.0101,0.0006,0.0005,0.003,0.0046,0.0661,0.0015,0.0105,0,smoothed,2009
69,0.0029,0.0101,0.0004,0.0006,0.0029,0.0042,0.0658,0.0018,0.0113,0,smoothed,2009
70,0.0031,0.01,0.0004,0.0004,0.0029,0.0042,0.0662,0.0017,0.011,0,smoothed,2009
71,0.0037,0.0103,0.0006,0.0004,0.0025,0.0049,0.0646,0.0017,0.0113,0,smoothed,2009
72,0.0042,0.0108,0.0009,0.0003,0.0029,0.0048,0.0639,0.0015,0.0107,0,smoothed,2009
73,0.0038,0.0105,0.0009,0.0003,0.0028,0.0052,0.0649,0.0013,0.0103,0,smoothed,2009
74,0.0034,0.0101,0.0007,0.0004,0.0032,0.0051,0.066,0.0011,0.0099,0,smoothed,2009
75,0.0029,0.0095,0.0005,0.0004,0.003,0.0057,0.0672,0.0013,0.0095,0,smoothed,2009
76,0.0033,0.0091,0.0007,0.0004,0.0032,0.0053,0.0677,0.0013,0.009,0,smoothed,2009
77,0.0029,0.0089,0.0008,0.0004,0.0035,0.0053,0.0677,0.0013,0.0092,0,smoothed,2009
78,0.0028,0.0087,0.0009,0.0003,0.0035,0.0048,0.0691,0.0012,0.0088,0,smoothed,2009
79,0.0029,0.0092,0.0007,0.0002,0.0042,0.005,0.0674,0.0012,0.0091,0,smoothed,2009
80,0.0029,0.0096,0.0005,0.0002,0.0038,0.0049,0.0678,0.0013,0.0089,0,smoothed,2009
81,0.0025,0.0099,0.0005,0.0003,0.0037,0.0056,0.0673,0.0013,0.0089,0,smoothed,2009
82,0.0016,0.0101,0.0006,0.0002,0.003,0.0057,0.0689,0.0012,0.0086,0,smoothed,2009
83,0.002,0.0093,0.0007,0.0003,0.0033,0.0063,0.0681,0.0013,0.0088,0,smoothed,2009
84,0.0023,0.0097,0.0007,0.0003,0.0037,0.0056,0.0683,0.0015,0.0078,0,smoothed,2009
85,0.0027,0.009,0.0006,0.0003,0.0034,0.0057,0.0696,0.0017,0.0071,0,smoothed,2009
86,0.0022,0.01,0.0007,0.0002,0.0033,0.005,0.0708,0.0015,0.0065,0,smoothed,2009
87,0.0023,0.0093,0.0006,0.0001,0.0026,0.005,0.072,0.0014,0.0066,0,smoothed,2009
88,0.0024,0.0102,0.0007,0.0002,0.0034,0.0045,0.0709,0.0012,0.0065,0,smoothed,2009
89,0.0025,0.0101,0.0006,0.0002,0.0036,0.0054,0.0703,0.0012,0.0062,0,smoothed,2009
90,0.0021,0.0105,0.0004,0.0001,0.0044,0.0054,0.0697,0.0011,0.0063,0,smoothed,2009
91,0.0016,0.0103,0.0005,0,0.0038,0.006,0.0706,0.0011,0.0061,0,smoothed,2009
92,0.0016,0.01,0.0006,0.0001,0.0037,0.0056,0.0716,0.0009,0.0059,0,smoothed,2009
93,0.0014,0.0101,0.0007,0.0001,0.0034,0.0057,0.0724,0.0007,0.0056,0,smoothed,2009
94,0.0013,0.0113,0.0006,0.0001,0.0031,0.006,0.0713,0.0007,0.0056,0,smoothed,2009
95,0.001,0.0116,0.0004,0.0001,0.0029,0.0067,0.0706,0.0009,0.0058,0,smoothed,2009
96,0.001,0.0136,0.0004,0.0001,0.0031,0.0075,0.0681,0.0009,0.0054,0,smoothed,2009
97,0.0013,0.0118,0.0003,0.0002,0.0032,0.0082,0.0695,0.0009,0.0046,0,smoothed,2009
98,0.0018,0.0104,0.0002,0.0002,0.0026,0.008,0.0701,0.0007,0.0059,0,smoothed,2009
99,0.0021,0.0071,0.0003,0.0002,0.0017,0.008,0.0722,0.0007,0.0077,0,smoothed,2009
100,0.0021,0.0066,0.0003,0.0001,0.0013,0.0075,0.0717,0.0005,0.01,0,smoothed,2009
0,0.0404,0.0474,0.0064,0.0012,0.0042,0.0148,0.0356,0.0008,0.0428,0.0064,smoothed,2020
1,0.0498,0.045,0.0068,0.0014,0.0042,0.0134,0.0328,0.0008,0.0394,0.0064,smoothed,2020
2,0.0654,0.0392,0.0082,0.002,0.004,0.0088,0.0298,0.0004,0.037,0.0052,smoothed,2020
3,0.0682,0.0388,0.0088,0.0022,0.0034,0.0086,0.0306,0.0004,0.0338,0.0052,smoothed,2020
4,0.069,0.0402,0.0096,0.0026,0.0032,0.0068,0.0292,0.0002,0.0338,0.0054,smoothed,2020
5,0.0678,0.0424,0.0102,0.0026,0.0022,0.0054,0.0284,0.0004,0.0352,0.0054,smoothed,2020
6,0.068,0.044,0.0106,0.0024,0.002,0.0054,0.0286,0.0006,0.0326,0.0054,smoothed,2020
7,0.0654,0.045,0.012,0.002,0.0022,0.006,0.031,0.0006,0.0308,0.0048,smoothed,2020
8,0.0654,0.0466,0.0126,0.002,0.002,0.0058,0.0314,0.0006,0.0284,0.0054,smoothed,2020
9,0.0686,0.0462,0.012,0.0024,0.0022,0.005,0.0306,0.0004,0.0276,0.0048,smoothed,2020
10,0.071,0.0454,0.0102,0.0026,0.0016,0.0046,0.032,0.0004,0.028,0.0044,smoothed,2020
11,0.0674,0.0452,0.0094,0.0024,0.002,0.0046,0.0348,0.0004,0.03,0.0036,smoothed,2020
12,0.0686,0.0448,0.0092,0.0024,0.0018,0.0048,0.0368,0.0002,0.028,0.0036,smoothed,2020
13,0.0666,0.0446,0.0092,0.002,0.0018,0.0044,0.0396,0.0006,0.0282,0.003,smoothed,2020
14,0.0672,0.0434,0.0096,0.0024,0.002,0.004,0.0396,0.0008,0.0274,0.0034,smoothed,2020
15,0.0656,0.0416,0.0084,0.003,0.0026,0.004,0.0418,0.001,0.0276,0.0044,smoothed,2020
16,0.065,0.0376,0.0078,0.0038,0.0028,0.0062,0.0444,0.001,0.0264,0.0048,smoothed,2020
17,0.0644,0.035,0.0062,0.0042,0.003,0.0066,0.0488,0.001,0.0258,0.005,smoothed,2020
18,0.061,0.0338,0.0062,0.0034,0.0032,0.0078,0.0514,0.0012,0.0266,0.0052,smoothed,2020
19,0.0614,0.0342,0.0058,0.0032,0.0032,0.0068,0.0526,0.0008,0.0264,0.0056,smoothed,2020
20,0.0604,0.0334,0.0056,0.0028,0.0032,0.0064,0.0546,0.0004,0.0264,0.0066,smoothed,2020
21,0.0596,0.0324,0.0054,0.003,0.003,0.0052,0.0574,0.0004,0.028,0.0056,smoothed,2020
22,0.054,0.0334,0.0054,0.0026,0.0044,0.0048,0.061,0.0008,0.0282,0.0054,smoothed,2020
23,0.0508,0.0326,0.0048,0.0028,0.0042,0.0066,0.063,0.001,0.0294,0.0046,smoothed,2020
24,0.0482,0.033,0.0044,0.003,0.0048,0.0074,0.0626,0.0016,0.0292,0.006,smoothed,2020
25,0.051,0.0318,0.004,0.003,0.004,0.0074,0.0618,0.0014,0.0294,0.0064,smoothed,2020
26,0.051,0.0318,0.0044,0.003,0.004,0.007,0.0628,0.0012,0.0282,0.007,smoothed,2020
27,0.0506,0.0292,0.0042,0.0032,0.0036,0.0056,0.069,0.0006,0.0272,0.0068,smoothed,2020
28,0.0442,0.0294,0.0034,0.0034,0.0046,0.0062,0.0732,0.001,0.0276,0.0072,smoothed,2020
29,0.0432,0.0306,0.0026,0.003,0.0054,0.0068,0.0734,0.0012,0.027,0.0068,smoothed,2020
30,0.043,0.0328,0.0028,0.0024,0.0064,0.008,0.0716,0.001,0.026,0.006,smoothed,2020
31,0.0434,0.0342,0.004,0.0022,0.0048,0.0066,0.0726,0.0004,0.0248,0.0068,smoothed,2020
32,0.0412,0.035,0.0042,0.002,0.0046,0.0072,0.0762,0.0004,0.023,0.0062,smoothed,2020
33,0.037,0.0354,0.0038,0.0022,0.0044,0.007,0.0794,0.0002,0.0242,0.0062,smoothed,2020
34,0.034,0.0346,0.0026,0.0024,0.004,0.008,0.085,0.0004,0.0232,0.0058,smoothed,2020
35,0.0308,0.035,0.0026,0.0026,0.004,0.007,0.0878,0.0004,0.0246,0.0052,smoothed,2020
36,0.0288,0.035,0.0028,0.002,0.0038,0.0068,0.0912,0.0008,0.0232,0.0058,smoothed,2020
37,0.03,0.0324,0.0026,0.0022,0.006,0.0082,0.0882,0.0008,0.024,0.005,smoothed,2020
38,0.0312,0.0314,0.0028,0.002,0.0074,0.0096,0.0874,0.0006,0.0222,0.0052,smoothed,2020
39,0.0296,0.0318,0.0026,0.0026,0.0068,0.0102,0.0894,0.0006,0.0216,0.0046,smoothed,2020
40,0.0276,0.0324,0.0024,0.002,0.0058,0.0086,0.0936,0.0002,0.0222,0.005,smoothed,2020
41,0.0276,0.0324,0.002,0.0018,0.0046,0.0072,0.0968,0.0002,0.022,0.0058,smoothed,2020
42,0.028,0.0304,0.0024,0.0012,0.0052,0.0068,0.0996,0,0.021,0.0054,smoothed,2020
43,0.0276,0.032,0.0028,0.001,0.0056,0.0072,0.0998,0.0004,0.0184,0.0052,smoothed,2020
44,0.0264,0.0324,0.0028,0.0012,0.0056,0.0066,0.1028,0.0006,0.0172,0.0044,smoothed,2020
45,0.0242,0.0342,0.0022,0.0012,0.0056,0.007,0.1034,0.0008,0.0172,0.0042,smoothed,2020
46,0.0228,0.0332,0.0016,0.0018,0.0058,0.007,0.1052,0.0004,0.0186,0.0038,smoothed,2020
47,0.0222,0.0334,0.0014,0.0016,0.0062,0.0076,0.1052,0.0006,0.0176,0.0042,smoothed,2020
48,0.0226,0.0332,0.0014,0.0024,0.006,0.0078,0.1042,0.0008,0.0158,0.0058,smoothed,2020
49,0.0228,0.0332,0.002,0.0016,0.0052,0.0078,0.105,0.0008,0.0152,0.0064,smoothed,2020
50,0.0206,0.032,0.0018,0.0016,0.005,0.0086,0.107,0.0008,0.0162,0.0066,smoothed,2020
51,0.0196,0.0308,0.002,0.0012,0.0066,0.0084,0.1102,0.0002,0.0146,0.0062,smoothed,2020
52,0.0186,0.0314,0.0018,0.001,0.0054,0.0098,0.1104,0.0006,0.0152,0.0058,smoothed,2020
53,0.0178,0.0306,0.0018,0.0008,0.0066,0.0096,0.1116,0.0002,0.0156,0.0054,smoothed,2020
54,0.0158,0.0304,0.0012,0.0006,0.0068,0.0088,0.115,0.0004,0.0164,0.0046,smoothed,2020
55,0.0144,0.0302,0.001,0.001,0.008,0.0082,0.118,0.0002,0.0154,0.0034,smoothed,2020
56,0.0134,0.0304,0.0012,0.0012,0.007,0.0074,0.123,0.0004,0.0136,0.0028,smoothed,2020
57,0.014,0.0306,0.0012,0.0012,0.0064,0.008,0.1226,0.0004,0.0134,0.002,smoothed,2020
58,0.0144,0.0278,0.0012,0.0012,0.0064,0.0072,0.125,0.0006,0.0134,0.0028,smoothed,2020
59,0.014,0.029,0.001,0.001,0.0058,0.0068,0.1254,0.0004,0.0132,0.0032,smoothed,2020
60,0.0126,0.0276,0.001,0.0008,0.0056,0.0074,0.1274,0.0004,0.0134,0.0042,smoothed,2020
61,0.0112,0.0304,0.001,0.0006,0.0056,0.0086,0.1266,0.0002,0.012,0.0036,smoothed,2020
62,0.0104,0.0304,0.0012,0.0006,0.0064,0.0096,0.1252,0.0002,0.0128,0.0032,smoothed,2020
63,0.01,0.0328,0.0018,0.0008,0.0062,0.009,0.1242,0,0.013,0.002,smoothed,2020
64,0.0094,0.0328,0.002,0.0012,0.0056,0.008,0.1272,0,0.012,0.002,smoothed,2020
65,0.0086,0.0326,0.0016,0.0008,0.0056,0.0078,0.1298,0,0.011,0.0022,smoothed,2020
66,0.0084,0.0322,0.0012,0.0004,0.0064,0.0074,0.1304,0,0.011,0.0026,smoothed,2020
67,0.0076,0.0302,0.001,0,0.0072,0.0088,0.1314,0,0.0112,0.0024,smoothed,2020
68,0.0074,0.0292,0.0014,0,0.0064,0.0088,0.1338,0,0.0108,0.0022,smoothed,2020
69,0.0074,0.0282,0.0014,0,0.0068,0.0092,0.1354,0,0.0094,0.0022,smoothed,2020
70,0.007,0.0292,0.0012,0.0002,0.0062,0.0086,0.1366,0,0.009,0.0022,smoothed,2020
71,0.0076,0.0292,0.001,0.0002,0.006,0.0086,0.1356,0,0.0094,0.0022,smoothed,2020
72,0.0068,0.0278,0.0012,0.0006,0.0044,0.009,0.14,0,0.0082,0.002,smoothed,2020
73,0.007,0.0282,0.001,0.0006,0.0038,0.0092,0.1384,0.0002,0.0092,0.0026,smoothed,2020
74,0.0062,0.0292,0.001,0.0006,0.004,0.0086,0.14,0.0002,0.0082,0.0024,smoothed,2020
75,0.0064,0.0292,0.0008,0.0002,0.005,0.0082,0.1386,0.0002,0.0094,0.0024,smoothed,2020
76,0.0054,0.0282,0.0008,0.0004,0.0056,0.0076,0.143,0,0.0072,0.0018,smoothed,2020
77,0.0056,0.0286,0.0006,0.0002,0.0054,0.007,0.1442,0,0.007,0.0014,smoothed,2020
78,0.0048,0.0306,0.0008,0.0004,0.0052,0.0066,0.1442,0,0.0062,0.0014,smoothed,2020
79,0.0056,0.0304,0.001,0.0004,0.0058,0.006,0.1426,0,0.0072,0.0012,smoothed,2020
80,0.0058,0.0296,0.0012,0.0004,0.0066,0.0066,0.141,0,0.007,0.0018,smoothed,2020
81,0.0058,0.03,0.001,0.0002,0.0056,0.006,0.1428,0,0.0064,0.002,smoothed,2020
82,0.0058,0.0312,0.0008,0.0002,0.0054,0.0068,0.142,0,0.0056,0.002,smoothed,2020
83,0.0056,0.03,0.0008,0.0002,0.004,0.0068,0.1452,0,0.0058,0.0018,smoothed,2020
84,0.0058,0.0282,0.0008,0.0002,0.0048,0.0068,0.1452,0,0.0062,0.002,smoothed,2020
85,0.0046,0.0274,0.001,0.0002,0.0036,0.0058,0.1492,0,0.0062,0.0016,smoothed,2020
86,0.0036,0.0288,0.001,0.0002,0.0048,0.006,0.1482,0.0002,0.0056,0.0016,smoothed,2020
87,0.0034,0.0294,0.001,0.0002,0.005,0.0074,0.1464,0.0002,0.006,0.0012,smoothed,2020
88,0.0036,0.0294,0.001,0.0002,0.0052,0.0082,0.1446,0.0002,0.0064,0.0014,smoothed,2020
89,0.0044,0.0298,0.001,0.0002,0.0054,0.0086,0.1426,0,0.0062,0.0016,smoothed,2020
90,0.0046,0.0302,0.001,0.0002,0.0064,0.0076,0.1438,0,0.0046,0.0016,smoothed,2020
91,0.0044,0.0304,0.0008,0.0002,0.0072,0.008,0.1436,0,0.004,0.0014,smoothed,2020
92,0.0036,0.0286,0.0008,0.0002,0.0064,0.0076,0.1474,0,0.0036,0.0014,smoothed,2020
93,0.0034,0.0292,0.0008,0.0004,0.0058,0.0076,0.1476,0.0002,0.0044,0.001,smoothed,2020
94,0.0036,0.028,0.0008,0.0004,0.0054,0.0072,0.1484,0.0002,0.0044,0.0014,smoothed,2020
95,0.0034,0.0304,0.0004,0.0002,0.0058,0.0082,0.1452,0.0002,0.005,0.0012,smoothed,2020
96,0.0028,0.0308,0.0006,0.0002,0.005,0.0084,0.146,0,0.0046,0.0014,smoothed,2020
97,0.003,0.0338,0.0008,0.0002,0.004,0.0088,0.1436,0,0.0048,0.001,smoothed,2020
98,0.003,0.0316,0.0008,0.0004,0.0034,0.0092,0.1456,0,0.0046,0.0012,smoothed,2020
99,0.003,0.0292,0.0004,0.0006,0.0034,0.0108,0.1456,0,0.0052,0.0014,smoothed,2020
100,0.0028,0.026,0.0002,0.0006,0.0038,0.0118,0.1484,0,0.0048,0.0014,smoothed,2020